ideology,n. 思想体系，意识形态
scarcely,adv. 几乎不；刚…就…；一定不
remainder,n. 剩余部分，剩余物；余数
amplify,vt. 放大 (声音等) vi.  vt. 详述，进一步阐述
grim,adj. 严肃的；令人沮丧的；阴森的
sympathetic,adj. 同情的；赞成的；讨人喜欢的
sphere,n. 球 (体)，球形；范围，领域
odor,n. (常指难闻的) 气味
spark,n. 火花；一丁点；活力；诱因 vt. 引发，触发 vi. 产生电火花
startle,vt. 使…吓一跳，使…大吃一惊
naval,adj. 海军的
tantalize,vt. 逗引，招惹
fatal,adj. 致命的；灾难性的，毁灭性的
birthright,n. 与生俱来的权利；基本人权
flame,n. 火焰；强烈的感情；橘红色 vi. 燃烧 vi.  vt. (因强烈情绪而) 脸红
equality,n. 平等
radium,n. 镭
bribe,vt. 贿赂，收买 n. 贿赂，贿赂品
Islam,n. 伊斯兰教；伊斯兰教徒
namely,adv. 即，也就是
precaution,n. 预防措施，防备
drum,n. 鼓；大桶；鼓状物 vi. 打鼓，击鼓 vt.  vi. 不停地击打
overwhelm,vt. 使不知所措；击败；压垮；淹没
conviction,n. 定罪；坚定的信念；坚信
sexual,adj. 性的；生殖的；性别的
bean,n. 豆，豆荚，豆科植物；豆形果实
jet,n. 喷气式飞机；喷射流；黑玉 vi. 乘坐飞机旅行 vi.  vt. 喷射，喷出
exotic,adj. 异国风情的，外来的
eternal,adj. 永恒的，永远的；没完没了的
appliance,n. (家用) 电器，装置
ornament,n. 装饰品；首饰，饰物；点缀 vt. 装饰，点缀
ignorance,n. 无知，愚昧
acquaint,vt. 使熟悉，使了解
advancement,n. 促进；进步；(工作等的) 提升
conquer,vt. 占领，征服；克服
fragrant,adj. 芳香的，有香味的
collective,adj. 集体的，共同的 n. 集体企业，合作农场
merger,n. (机构或企业的) 合并
ascend,vi.  vt. 上升，攀登 vi. 晋升
cohesion,n. 团结，凝聚 (力)
Scottish,adj. 苏格兰 (人) 的
fatigue,n. 疲惫，疲倦；(士兵的) 作训服
persuasive,adj. 有说服力的，令人信服的
drip,vi. (液体) 滴下 vi.  vt. 滴 (水)，滴下 (液体)；充满 n. 滴落，滴水声；滴液；点滴瓶
stoop,vi. 俯身，弯腰；(站立时) 弓背 n. 驼背；门廊
